Week,Temperature,Rain,Snow,PM10,PM2.5,COVID19,Time,BusStop,BusNumber,people
6,10.0,0.0,0.0,22,22,1,0,82570,5,0
6,9.4,0.0,0.0,26,9,1,1,82570,5,0
6,8.8,0.0,0.0,24,21,1,2,82570,5,0
6,8.1,0.0,0.0,19,24,1,3,82570,5,0
0,7.7,0.0,0.0,21,22,1,4,82570,5,0
0,7.6,0.0,0.0,19,20,1,5,82570,5,0
0,7.2,0.0,0.0,18,20,1,6,82570,5,0
0,7.0,0.0,0.0,22,16,1,7,82570,5,1
0,7.8,0.0,0.0,22,17,1,8,82570,5,0
0,10.8,0.0,0.0,24,26,1,9,82570,5,1
0,14.1,0.0,0.0,31,0,1,10,82570,5,1
0,16.1,0.0,0.0,48,32,1,11,82570,5,2
0,18.9,0.0,0.0,41,28,1,12,82570,5,3
0,20.5,0.0,0.0,44,31,1,13,82570,5,1
0,21.1,0.0,0.0,43,19,1,14,82570,5,0
0,21.1,0.0,0.0,37,15,1,15,82570,5,5
0,21.1,0.0,0.0,35,9,1,16,82570,5,0
0,19.0,0.0,0.0,42,16,1,17,82570,5,2
0,17.0,0.0,0.0,45,11,1,18,82570,5,1
0,15.3,0.0,0.0,39,13,1,19,82570,5,1
0,14.4,0.0,0.0,49,22,1,20,82570,5,0
0,13.3,0.0,0.0,40,34,1,21,82570,5,0
0,12.2,0.0,0.0,58,23,1,22,82570,5,1
0,11.1,0.0,0.0,47,28,1,23,82570,5,0
0,10.4,0.0,0.0,49,28,1,0,82570,5,0
0,9.7,0.0,0.0,46,42,1,1,82570,5,0
0,9.2,0.0,0.0,46,33,1,2,82570,5,0
0,8.7,0.0,0.0,45,28,1,3,82570,5,0
1,8.3,0.0,0.0,44,23,1,4,82570,5,0
1,8.0,0.0,0.0,46,37,1,5,82570,5,0
1,7.6,0.0,0.0,44,28,1,6,82570,5,0
1,7.3,0.0,0.0,44,20,1,7,82570,5,1
1,8.4,0.0,0.0,50,18,1,8,82570,5,0
1,11.6,0.0,0.0,0,0,1,9,82570,5,0
1,14.3,0.0,0.0,0,0,1,10,82570,5,1
1,17.5,0.0,0.0,84,48,1,11,82570,5,1
1,19.9,0.0,0.0,87,45,1,12,82570,5,2
1,20.7,0.0,0.0,88,42,1,13,82570,5,1
1,21.3,0.0,0.0,55,28,1,14,82570,5,1
1,22.0,0.0,0.0,48,22,1,15,82570,5,1
1,21.5,0.0,0.0,33,20,1,16,82570,5,3
1,19.3,0.0,0.0,37,35,1,17,82570,5,3
1,17.5,0.0,0.0,57,31,1,18,82570,5,2
1,15.5,0.0,0.0,45,28,1,19,82570,5,0
1,14.2,0.0,0.0,54,26,1,20,82570,5,1
1,13.1,0.0,0.0,48,34,1,21,82570,5,2
1,12.5,0.0,0.0,43,38,1,22,82570,5,2
1,11.9,0.0,0.0,48,30,1,23,82570,5,0
1,11.2,0.0,0.0,48,37,1,0,82570,5,0
1,11.0,0.0,0.0,45,46,1,1,82570,5,0
1,10.6,0.0,0.0,43,32,1,2,82570,5,0
1,9.9,0.0,0.0,41,38,1,3,82570,5,0
2,10.0,0.0,0.0,35,19,1,4,82570,5,0
2,10.0,0.0,0.0,35,16,1,5,82570,5,0
2,10.1,0.0,0.0,30,30,1,6,82570,5,2
2,10.2,0.0,0.0,35,29,1,7,82570,5,0
2,10.8,0.0,0.0,32,25,1,8,82570,5,0
